requisicaoN,tempoBanco,tempoHTTP
1,0.001178,0.273861
2,0.001163,0.265391
3,0.001174,0.285143
4,0.002295,0.252826
5,0.001094,0.264405
6,0.001902,0.281679
7,0.001372,0.281707
8,0.001237,0.326012
9,0.002027,0.283691
10,0.001223,0.285535
11,0.001181,0.358065
12,0.001196,0.263049
13,0.001034,0.273271
14,0.001070,0.254962
15,0.001119,0.278538
16,0.001041,0.260234
17,0.001191,0.267479
18,0.001128,0.276236
19,0.001091,0.289300
20,0.001099,0.304914
21,0.002280,0.298758
22,0.001219,0.268484
23,0.000987,0.294645
24,0.001170,0.296262
25,0.001817,0.274982
26,0.001182,0.255057
27,0.001098,0.284122
28,0.001210,0.256192
29,0.001198,0.257445
30,0.001643,0.272830
31,0.004337,0.275093
32,0.001195,0.249213
33,0.001079,0.274438
34,0.001266,0.399982
35,0.001212,0.262317
36,0.001071,0.354210
37,0.001143,0.340629
38,0.001212,0.250816
39,0.001138,0.254576
40,0.001066,0.254584
41,0.001172,0.259329
42,0.001487,0.274015
43,0.001063,0.281555
44,0.001163,0.254253
45,0.001009,0.269729
46,0.001035,0.246512
47,0.001134,0.281402
48,0.001768,0.275778
49,0.001129,0.274776
50,0.001165,0.260546
51,0.001144,0.269316
52,0.001089,0.255130
53,0.001309,0.259901
54,0.001119,0.277079
55,0.001342,0.296403
56,0.001225,0.285242
57,0.001164,0.858787
58,0.001133,0.275898
59,0.001615,0.267741
60,0.001157,1.299339
61,0.001173,0.250585
62,0.001778,0.283617
63,0.001165,0.251076
64,0.001012,0.271592
65,0.001296,0.250967
66,0.001121,0.252727
67,0.001187,0.266968
68,0.001173,0.259151
69,0.001704,0.278123
70,0.001067,0.266188
71,0.001224,0.247838
72,0.001126,0.248375
73,0.001118,0.268389
74,0.001676,0.282360
75,0.001350,0.257004
76,0.001160,0.266460
77,0.001160,0.271609
78,0.001206,0.282015
79,0.001034,0.266384
80,0.001045,0.261748
81,0.004129,0.274700
82,0.001102,0.255942
83,0.001132,0.304315
84,0.001145,0.274158
85,0.001154,0.268449
86,0.004984,0.264414
87,0.001469,0.253293
88,0.000972,0.298732
89,0.002522,0.259232
90,0.001390,0.271065
91,0.001210,0.253197
92,0.002196,0.248471
93,0.001064,0.260268
94,0.001241,0.285240
95,0.001083,0.274754
96,0.001050,0.254590
97,0.001161,0.274712
98,0.001785,0.278789
99,0.000982,0.245702
100,0.001279,0.260723
101,0.001210,0.282982
102,0.001164,0.246965
103,0.001241,0.260533
104,0.001298,0.267766
105,0.001361,1.348226
106,0.001071,0.267916
107,0.000978,0.260434
108,0.001092,0.273213
109,0.001163,0.264362
110,0.001173,0.263855
111,0.001072,0.345572
112,0.001097,0.261529
113,0.001171,0.261566
114,0.001175,0.253629
115,0.001113,0.267239
116,0.001049,0.256585
117,0.001493,0.269384
118,0.001418,0.266536
119,0.001916,0.790306
120,0.001593,0.257598
121,0.001308,0.253014
122,0.001352,0.334305
123,0.001496,0.290265
124,0.001563,0.279237
125,0.001177,0.256195
126,0.001609,0.278131
127,0.001741,0.271144
128,0.001350,0.347534
129,0.001482,0.250146
130,0.001468,0.347185
131,0.001693,0.300366
132,0.001023,0.259383
133,0.001172,0.270126
134,0.001079,0.252072
135,0.001100,0.248666
136,0.001182,0.253920
137,0.001183,0.254138
138,0.001667,0.259457
139,0.001025,0.257059
140,0.001533,0.275597
141,0.001038,0.251657
142,0.001278,0.251465
143,0.001046,0.435586
144,0.001045,0.261827
145,0.001104,0.261098
146,0.001146,0.252019
147,0.002074,0.340088
148,0.000947,0.253728
149,0.001055,0.264274
150,0.001214,0.277596
151,0.001155,0.292490
152,0.001194,0.268647
153,0.001127,0.268274
154,0.001056,0.345802
155,0.001052,0.251801
156,0.001200,0.277913
157,0.001195,0.308939
158,0.001387,0.344368
159,0.001195,0.267666
160,0.001024,0.288089
161,0.001099,0.286754
162,0.001138,0.251928
163,0.002079,0.309283
164,0.001437,0.277685
165,0.001239,0.255362
166,0.001034,0.308689
167,0.002278,0.261234
168,0.001092,0.435128
169,0.001119,0.253014
170,0.001005,0.275943
171,0.001046,0.394544
172,0.001194,0.349940
173,0.001188,0.264802
174,0.001275,0.318388
175,0.001176,0.293546
176,0.001013,0.295333
177,0.001110,0.264901
178,0.001046,0.280442
179,0.001279,0.287577
180,0.001148,0.278719
181,0.001200,0.350977
182,0.001164,0.269453
183,0.001158,0.284494
184,0.001246,0.278997
185,0.001957,0.306482
186,0.001179,0.281631
187,0.001368,0.281777
188,0.001618,0.276433
189,0.001824,0.275355
190,0.001257,0.312030
191,0.001838,0.270747
192,0.001931,0.277483
193,0.001144,0.271308
194,0.001217,0.279087
195,0.001040,0.274396
196,0.001297,0.263563
197,0.001165,0.259194
198,0.001055,0.260715
199,0.001123,0.355501
200,0.001914,0.255924
201,0.001282,0.274388
202,0.001051,0.399126
203,0.001094,1.364370
204,0.001193,0.255709
205,0.002268,0.284121
206,0.001226,0.265881
207,0.002017,0.313159
208,0.001132,0.269279
209,0.001687,0.261420
210,0.004509,0.267656
211,0.001062,0.253369
212,0.001191,0.264817
213,0.001478,0.267395
214,0.001224,0.279173
215,0.001131,0.271423
216,0.007097,0.273056
217,0.001434,0.271713
218,0.001222,0.250829
219,0.001035,0.317144
220,0.001029,0.256818
221,0.001485,0.275015
222,0.001043,0.255786
223,0.001183,0.258108
224,0.001183,0.256419
225,0.001187,0.268372
226,0.001022,0.289488
