requisicaoN,tempoBanco,tempoHTTP
1,0.000435,0.792089
2,0.000533,0.272580
3,0.000415,0.269833
4,0.000471,0.256271
5,0.000982,0.283185
6,0.000517,0.277690
7,0.000549,0.291622
8,0.000517,0.349575
9,0.000848,0.269078
10,0.001084,0.292182
11,0.000586,0.256116
12,0.000638,0.245748
13,0.000471,0.286495
14,0.000873,0.254713
15,0.000669,0.285937
16,0.000877,0.256984
17,0.000467,0.271008
18,0.000481,0.327345
19,0.000438,0.281432
20,0.000503,0.284767
21,0.000497,0.271812
22,0.000477,0.275554
23,0.000560,0.271281
24,0.000487,0.370361
25,0.000444,0.251936
26,0.000458,0.271040
27,0.000486,0.317782
28,0.000488,0.325305
29,0.001208,0.276928
30,0.001222,0.267073
31,0.000491,0.256637
32,0.000479,0.267946
33,0.000459,0.329398
34,0.000484,0.368244
35,0.000447,0.269215
36,0.000458,0.355468
37,0.000592,0.270892
38,0.000444,0.262568
39,0.000499,0.255473
40,0.000504,0.253390
41,0.000460,0.273854
42,0.000454,0.286003
43,0.000478,0.282047
44,0.000476,0.255057
45,0.000451,0.264425
46,0.000723,0.266153
47,0.000452,0.276524
48,0.000584,0.262752
49,0.000468,0.278087
50,0.000801,0.260663
51,0.000446,0.280319
52,0.000758,0.265284
53,0.000490,0.269561
54,0.000447,0.278901
55,0.000490,0.282441
56,0.000455,0.267672
57,0.000456,0.256992
58,0.000727,0.281409
59,0.000459,0.271867
60,0.000630,0.282806
61,0.003002,0.278555
62,0.000500,0.271708
63,0.000474,0.264283
64,0.000488,0.265180
65,0.000477,0.274134
66,0.000457,0.274611
67,0.004661,0.355078
68,0.000726,0.269760
69,0.000548,0.265083
70,0.000472,0.295470
71,0.000425,0.266017
72,0.000448,0.285047
73,0.000907,0.364389
74,0.000455,0.295606
75,0.000556,0.263604
76,0.000514,0.268367
77,0.000906,0.291436
78,0.000459,0.308660
79,0.000455,0.257485
80,0.000641,0.253656
81,0.000445,0.265338
82,0.000829,0.281288
83,0.000470,0.269948
84,0.001116,0.262650
85,0.000902,0.264288
86,0.001058,0.264083
87,0.000463,0.255721
88,0.001059,0.248839
89,0.000459,0.253327
90,0.000500,0.256803
91,0.000467,0.258993
92,0.000771,0.251925
93,0.000456,0.253263
94,0.000799,0.266574
95,0.000474,0.245722
96,0.000470,0.272229
97,0.000449,0.278781
98,0.000494,0.249481
99,0.004021,0.264914
100,0.000445,0.275528
101,0.000476,0.263073
102,0.000474,0.271492
103,0.000555,0.266420
104,0.000456,0.286183
105,0.000487,0.265457
106,0.001077,0.259129
107,0.000483,0.257396
108,0.000461,0.248279
109,0.000459,0.262123
110,0.000452,0.269586
111,0.000474,0.254462
112,0.000448,0.253781
113,0.000512,0.263492
114,0.001482,0.253094
115,0.000453,0.254223
116,0.000700,0.279421
117,0.000474,0.272834
118,0.000461,0.281428
119,0.000452,0.258686
120,0.000445,0.272887
121,0.000457,0.261634
122,0.000467,0.249694
123,0.000451,0.259453
124,0.000480,0.270456
125,0.000481,0.253374
126,0.000480,0.266651
127,0.000452,0.275667
128,0.000510,0.253711
129,0.000477,0.269709
130,0.000476,0.270336
131,0.000460,0.255712
132,0.000454,0.257239
133,0.000508,0.270640
134,0.000454,0.246864
135,0.000496,0.277016
136,0.000467,0.274438
137,0.000729,0.262850
138,0.000726,0.263288
139,0.000698,0.279340
140,0.000613,0.265878
141,0.000512,0.271568
142,0.000430,0.358668
143,0.000824,0.327090
144,0.000610,0.290837
145,0.000490,0.263094
146,0.000455,0.256873
147,0.000448,0.250866
148,0.000454,0.257538
149,0.000712,0.263223
150,0.000534,0.252590
151,0.000840,0.248565
152,0.000546,0.256565
153,0.000705,0.274382
154,0.000453,0.270615
155,0.000463,0.273692
156,0.000538,0.283697
157,0.000721,0.259689
158,0.001058,0.266768
159,0.000414,0.248182
160,0.000454,0.253775
161,0.001177,0.258562
162,0.000449,0.254052
163,0.000459,0.343504
164,0.000710,0.288431
165,0.000425,0.267798
166,0.000479,0.252927
167,0.000524,0.274562
168,0.000451,0.268003
169,0.000448,0.253060
170,0.000460,0.258263
171,0.000455,0.280122
172,0.000474,0.284156
173,0.000488,0.266592
174,0.003979,0.270959
175,0.000466,0.264666
176,0.000567,0.260093
177,0.000468,0.254003
178,0.000457,0.253456
179,0.000494,0.264220
180,0.000522,0.269659
181,0.000468,0.250308
182,0.000494,0.277829
183,0.000475,0.256366
184,0.000483,0.296493
185,0.000550,0.277285
186,0.000470,0.259813
187,0.000493,0.251973
188,0.000496,0.275813
189,0.000495,0.273270
190,0.000543,0.277493
191,0.000464,0.292432
192,0.000798,0.278077
193,0.000457,0.263959
194,0.000469,0.373853
195,0.000492,0.261632
196,0.000462,0.356188
197,0.000453,0.256489
198,0.000459,0.285348
199,0.000470,0.258914
200,0.000470,0.267134
201,0.000455,0.355874
202,0.000878,0.252858
203,0.000547,0.274276
204,0.000488,0.280004
205,0.000480,0.270915
206,0.000474,0.251990
207,0.000457,0.276453
208,0.000494,0.253015
209,0.000474,0.278532
210,0.000466,0.276257
211,0.000487,0.264864
212,0.000491,0.270760
213,0.000502,0.268947
214,0.000484,0.280098
215,0.000509,0.280908
216,0.000500,0.264134
217,0.000442,0.251329
218,0.000476,0.281879
219,0.000766,0.276597
220,0.000467,0.268300
221,0.000461,0.251311
222,0.000533,0.274115
223,0.000471,0.273852
224,0.000454,0.274520
225,0.000528,0.320641
226,0.000502,0.253234
227,0.000486,0.284512
228,0.000472,0.249553
229,0.000507,0.261914
230,0.000486,0.260729
231,0.000629,0.267406
232,0.000457,0.307978
233,0.000478,0.262178
234,0.000496,0.277562
235,0.000476,0.365469
236,0.000483,0.284078
237,0.000508,0.259108
238,0.000478,0.256779
239,0.000512,0.264041
240,0.000484,0.264749
241,0.000455,0.254849
242,0.000512,0.272770
243,0.005915,0.360486
244,0.000495,0.283786
245,0.000875,0.367754
246,0.001147,0.272326
247,0.000472,0.345091
248,0.000491,0.276526
249,0.000473,0.275026
250,0.000481,0.268880
251,0.000534,0.271189
252,0.000454,0.267259
253,0.000658,0.277937
254,0.000534,0.282820
255,0.000870,0.268180
256,0.000482,0.262026
257,0.000494,0.356349
258,0.000503,0.270438
259,0.000482,0.250159
260,0.000472,0.259848
261,0.000488,0.272043
262,0.000480,0.274052
263,0.000499,0.253691
264,0.000541,0.271260
265,0.000472,0.280134
266,0.000495,0.283223
267,0.000482,0.284517
268,0.000534,0.266987
269,0.000793,0.258316
270,0.000474,0.272218
271,0.000463,0.270052
272,0.000478,0.278458
273,0.000480,0.277393
274,0.000466,0.271184
275,0.000487,0.292689
276,0.000474,0.281190
277,0.000475,0.274196
278,0.000495,0.249351
279,0.000463,0.312871
280,0.000458,0.279721
281,0.000461,0.260474
282,0.000622,0.278576
283,0.000477,0.283355
284,0.000468,0.253376
285,0.000507,0.253286
286,0.001867,0.262179
287,0.001310,0.373088
288,0.000564,0.270433
289,0.000533,0.273874
290,0.000517,0.280454
291,0.000493,0.261391
292,0.000542,0.262719
293,0.000449,0.267993
294,0.001068,0.270050
295,0.003224,0.267463
296,0.000476,0.319159
297,0.000502,0.256449
298,0.000522,0.283852
299,0.000920,0.285176
300,0.000456,0.349904
301,0.000540,0.271222
302,0.000467,0.257018
303,0.000477,0.266095
304,0.000475,0.253293
305,0.000561,0.274890
306,0.000547,0.276661
307,0.000489,0.273602
308,0.000607,0.274290
309,0.000489,0.270544
310,0.000478,0.264504
311,0.000476,0.252134
312,0.000465,0.267362
313,0.000460,0.259532
314,0.000486,0.269924
315,0.000465,0.256303
316,0.000459,0.270600
317,0.000542,0.269792
318,0.000469,0.268064
319,0.000474,0.283821
320,0.000756,0.264118
321,0.001048,0.274998
322,0.001140,0.257590
323,0.000452,0.261103
324,0.000482,0.281759
325,0.000478,0.259261
326,0.000482,0.275860
327,0.000453,0.279379
328,0.000614,0.348508
329,0.000659,0.265367
330,0.000469,0.258308
331,0.000475,0.254112
332,0.000494,0.256247
333,0.000864,0.290808
334,0.001097,0.250186
335,0.000511,0.273889
336,0.000452,0.264043
337,0.000490,0.266791
338,0.000467,0.275765
339,0.000552,0.272469
340,0.000462,0.278526
341,0.000463,0.275067
342,0.000488,0.255764
343,0.000492,0.274060
344,0.000488,0.269224
345,0.000474,0.255461
346,0.000504,0.251518
347,0.000466,0.259721
348,0.000479,0.275658
349,0.001293,0.274687
350,0.000472,0.278856
351,0.000523,0.348214
352,0.000441,0.266353
353,0.000455,0.283663
354,0.000501,0.251692
355,0.000494,0.262998
356,0.000487,0.264485
357,0.000464,0.276446
358,0.000490,0.265501
359,0.000466,0.250386
360,0.000567,0.281960
361,0.000513,0.362967
362,0.004188,0.283414
363,0.001299,0.261040
364,0.000629,0.262166
365,0.000494,0.282920
366,0.000455,0.272792
367,0.000467,0.248713
368,0.000476,0.275033
369,0.000476,0.285988
370,0.000498,0.285785
371,0.000496,0.271382
372,0.000526,0.268467
373,0.000481,0.272254
374,0.000477,0.275442
375,0.000478,0.274603
376,0.000474,0.250983
377,0.000467,0.270913
378,0.000464,0.289522
379,0.000468,0.268721
380,0.000475,0.253309
381,0.000588,0.259389
382,0.000495,0.267139
383,0.000531,0.262611
384,0.000550,0.252973
385,0.000551,0.264689
386,0.000474,0.277936
387,0.000477,0.269972
388,0.000495,0.344527
389,0.000825,0.244000
390,0.000470,0.269551
391,0.000464,0.280056
392,0.000473,0.271794
393,0.000487,0.287607
394,0.000483,0.295855
395,0.000460,0.259419
396,0.000480,0.311523
397,0.000477,0.291236
398,0.000457,0.291169
399,0.000481,0.274581
400,0.000482,0.254341
401,0.000486,0.271729
402,0.000497,0.285553
403,0.000513,0.285923
404,0.000715,0.282932
405,0.000475,0.267263
406,0.000502,0.280321
407,0.000466,0.267418
408,0.000531,0.261150
409,0.000469,0.278475
410,0.000468,0.286522
411,0.000450,0.268220
412,0.000518,0.272434
413,0.000448,0.248462
414,0.000474,0.251342
415,0.000581,0.269863
416,0.001576,0.293069
417,0.000478,0.274521
418,0.000467,0.250415
419,0.000463,0.257008
420,0.000461,0.252657
421,0.000474,0.279684
422,0.000445,0.273844
423,0.000491,0.268746
424,0.000495,0.256518
425,0.000471,0.274021
426,0.000486,0.249000
427,0.000508,0.266150
428,0.000471,0.297107
429,0.000772,0.272036
430,0.000554,0.288909
431,0.000456,0.267318
432,0.000463,0.274574
433,0.000564,0.324291
434,0.000455,0.255439
435,0.000509,0.281203
436,0.000419,0.282208
437,0.000478,0.261182
438,0.000411,0.268398
439,0.000424,0.277522
440,0.000457,0.252900
441,0.000411,0.293724
442,0.000633,0.275360
443,0.000413,0.368737
444,0.000497,0.277793
445,0.000406,0.252691
446,0.000416,0.263003
447,0.000444,0.272027
448,0.000455,0.272722
449,0.000447,0.278780
450,0.000414,0.271473
451,0.000428,0.271127
452,0.000426,0.253730
453,0.000428,0.275469
454,0.000430,0.270329
455,0.000524,0.273020
456,0.000433,0.246475
457,0.000415,0.268985
458,0.000536,0.261826
459,0.000443,0.286272
460,0.000433,0.264607
461,0.000423,0.264911
462,0.000416,0.257515
463,0.000410,0.287281
464,0.000455,0.285307
465,0.000431,0.291804
466,0.001261,0.267728
467,0.000416,0.279504
468,0.000584,0.283561
469,0.000451,0.268781
470,0.000449,0.258296
471,0.000420,0.247888
472,0.000597,0.252347
473,0.000414,0.261431
474,0.000711,0.257477
475,0.000413,0.259466
476,0.000445,0.272312
477,0.000428,0.278511
478,0.000429,0.249607
479,0.000432,0.305785
480,0.000481,0.299371
481,0.000424,0.268706
482,0.000436,0.247088
483,0.000412,0.281615
484,0.000473,0.348498
485,0.000723,0.258859
486,0.000453,0.255549
487,0.000509,0.272382
488,0.000444,0.251462
489,0.000453,0.258287
490,0.000432,0.255391
491,0.000440,0.249661
492,0.000434,0.281417
493,0.000433,0.259767
494,0.000684,0.264736
495,0.000420,0.260406
496,0.000436,0.254822
497,0.000418,0.272445
498,0.000496,0.264347
499,0.000435,0.268677
500,0.000438,0.263505
501,0.000431,0.277605
502,0.000446,0.257110
503,0.000457,0.260374
504,0.000426,0.269965
505,0.000447,0.350468
506,0.000426,0.255732
507,0.000487,0.269838
508,0.000466,0.250631
509,0.000492,0.272117
510,0.000473,0.251591
511,0.000478,0.273696
512,0.000477,0.258085
513,0.000484,0.283835
514,0.000501,0.271083
515,0.000479,0.277024
516,0.000461,0.263513
517,0.000465,0.242916
518,0.002381,0.273752
519,0.001044,0.261252
520,0.000461,0.260963
521,0.000466,0.258122
522,0.000487,0.277276
523,0.000463,0.251902
524,0.000469,0.265548
525,0.000517,0.276998
526,0.005282,0.280922
527,0.000429,0.281299
528,0.000496,0.283179
529,0.001262,0.253345
530,0.000479,0.259627
531,0.000474,0.289480
532,0.000482,0.271718
533,0.000501,0.279890
534,0.000529,0.252903
535,0.000538,0.278908
536,0.001066,0.300330
537,0.001044,0.293547
538,0.000471,0.267396
539,0.000815,0.277459
540,0.000516,0.255225
541,0.000489,0.272277
542,0.000475,0.254318
543,0.000513,0.273675
544,0.000470,0.282849
545,0.000504,0.271910
546,0.000553,0.276046
547,0.002113,0.286377
548,0.000458,0.268498
549,0.000521,0.287396
550,0.000515,0.270662
551,0.000489,0.275854
552,0.000490,0.274056
553,0.000455,0.288092
554,0.000580,0.279582
555,0.000489,0.263375
556,0.000494,0.254856
557,0.000501,0.249219
558,0.000469,0.280411
559,0.000579,0.267565
560,0.000576,0.290899
561,0.000488,0.269943
562,0.000490,0.280945
563,0.000493,0.356682
564,0.001445,0.279968
565,0.000571,0.266944
566,0.000478,0.271243
567,0.000528,0.257750
568,0.000482,0.255726
569,0.000568,0.250816
570,0.000464,0.262582
571,0.000469,0.278254
572,0.000467,0.281677
573,0.000496,0.270521
574,0.000480,0.257696
575,0.000908,0.259082
576,0.000460,0.280482
577,0.000495,0.277949
578,0.000518,0.259653
579,0.000464,0.270353
580,0.000466,0.282318
581,0.000469,0.248106
582,0.000547,0.271564
583,0.000474,0.257391
584,0.000459,0.252320
585,0.000764,0.276701
586,0.000482,0.263048
587,0.000486,0.249299
588,0.000491,0.268679
589,0.000479,0.252222
590,0.000484,0.266141
591,0.000472,0.272720
592,0.000465,0.263204
593,0.000463,0.285804
594,0.000554,0.269375
595,0.000442,0.268516
596,0.000495,0.271575
597,0.000527,0.312443
598,0.000488,0.255403
599,0.000493,0.279453
600,0.000495,0.273818
601,0.000486,0.266034
602,0.002092,0.359958
603,0.000516,0.263733
604,0.000482,0.253138
605,0.000974,0.268185
606,0.000456,0.275912
607,0.000478,0.257035
608,0.001924,0.273068
609,0.000509,0.290620
610,0.000485,0.252752
611,0.000481,0.273332
612,0.000458,0.276753
613,0.000472,0.263672
614,0.000592,0.255162
615,0.000483,0.251674
616,0.000478,0.245034
617,0.000485,0.271067
618,0.000726,0.245188
619,0.008168,0.269927
620,0.000485,0.248867
621,0.000480,0.254897
622,0.000491,0.274541
623,0.000474,0.270891
624,0.000509,0.282973
625,0.002573,0.281383
626,0.000508,0.259920
627,0.000494,0.332329
628,0.000691,0.354302
629,0.000467,0.268231
630,0.000480,0.269689
631,0.000466,0.281027
632,0.000535,0.264287
633,0.000513,0.250030
634,0.000481,0.259489
635,0.000473,0.355982
636,0.000496,0.259412
637,0.001050,0.267895
638,0.000515,0.285426
639,0.000510,0.247938
640,0.000744,0.257331
641,0.000486,0.286380
642,0.000646,0.289727
643,0.000476,0.282339
644,0.000797,0.264310
645,0.028943,0.329380
646,0.000560,0.282542
647,0.000464,0.257646
648,0.000486,0.286516
649,0.001968,0.266071
650,0.000478,0.254541
651,0.000465,0.291917
652,0.000478,0.270785
653,0.000496,0.262811
654,0.005895,0.267165
655,0.001007,0.269867
656,0.000504,0.269576
657,0.000585,0.252422
658,0.000488,0.270206
659,0.000476,0.264069
660,0.000464,0.255916
661,0.000463,0.302283
662,0.000462,0.255923
663,0.000593,0.273148
664,0.001096,0.273525
665,0.000486,0.281235
666,0.000681,0.279938
667,0.000488,0.257259
668,0.003997,0.263933
669,0.000469,0.277946
670,0.000460,0.279208
671,0.000983,0.274413
672,0.000591,0.277002
673,0.000479,0.251947
674,0.000467,0.259464
675,0.000479,0.270163
676,0.000495,0.266457
677,0.000614,0.253258
678,0.000510,0.253797
679,0.000500,0.270628
680,0.000498,0.278248
681,0.000494,0.272381
682,0.000481,0.345611
683,0.000528,0.259264
684,0.000551,0.271541
685,0.000463,0.256171
686,0.000787,0.281491
687,0.000475,0.269247
688,0.000468,0.275240
689,0.001851,0.270753
690,0.000494,0.279585
691,0.000522,0.285682
692,0.000491,0.370842
693,0.000515,0.259787
694,0.000503,0.286014
695,0.000563,0.272334
696,0.000489,0.275643
697,0.001036,0.266133
698,0.001602,0.261804
699,0.001296,0.280278
700,0.000477,0.269890
701,0.000469,0.270197
702,0.000539,0.284444
703,0.000522,0.274870
