requisicaoN,tempoBanco,tempoHTTP
1,0.001761,0.280890
2,0.000421,0.248536
3,0.000441,0.260650
4,0.000424,0.248665
5,0.000501,0.237013
6,0.000490,0.236247
7,0.000533,0.242652
8,0.000559,0.240942
9,0.000505,0.239504
10,0.000506,0.239541
11,0.000464,0.242526
12,0.001973,0.240419
13,0.000435,0.240096
14,0.000410,0.245623
15,0.000417,0.240781
16,0.000431,0.260187
17,0.000413,0.290124
18,0.000411,0.251352
19,0.000433,0.246442
20,0.000420,0.241531
21,0.000459,0.262556
22,0.000430,0.240056
23,0.000424,0.249691
24,0.000428,0.240661
25,0.000423,0.241346
26,0.000437,0.242477
27,0.000429,0.253502
28,0.000430,0.272918
29,0.000502,0.252408
30,0.000421,0.241950
31,0.000430,0.248042
32,0.000449,0.251156
33,0.000430,0.244707
34,0.000833,0.240842
35,0.000412,0.274037
36,0.000447,0.239442
37,0.000429,0.253294
38,0.000434,0.257262
39,0.000584,0.237167
40,0.000416,0.248752
41,0.000569,0.240819
42,0.000426,0.244029
43,0.000421,0.251051
44,0.000457,0.280631
45,0.000414,0.242597
46,0.000418,0.241020
47,0.000414,0.237559
48,0.000410,0.256616
49,0.000409,0.241138
50,0.000491,0.239660
51,0.000430,0.256476
52,0.000442,0.237276
53,0.000404,0.251820
54,0.000415,0.254053
55,0.000428,0.258950
56,0.000421,0.267711
57,0.000402,0.243928
58,0.000641,0.243387
59,0.000405,0.248160
60,0.000423,0.268694
61,0.000415,0.243534
62,0.000423,0.253742
63,0.000412,0.255143
64,0.000428,0.248825
65,0.000411,0.247134
66,0.000411,0.245883
67,0.000441,0.263352
68,0.000432,0.247630
69,0.000429,0.242705
70,0.000457,0.257108
71,0.000414,0.242211
72,0.000596,0.247518
73,0.000408,0.241980
74,0.000422,0.242269
75,0.000410,0.245054
76,0.001096,0.244546
77,0.000404,0.238858
78,0.000410,0.252169
79,0.000425,0.239473
80,0.000422,0.243143
81,0.000429,0.268286
82,0.000425,0.242549
83,0.000440,0.240834
84,0.000417,0.254659
85,0.000416,0.254716
86,0.000446,0.247321
87,0.000410,0.248503
88,0.000424,0.246105
89,0.000444,0.259356
90,0.000441,0.238577
91,0.000409,0.240604
92,0.000433,0.243692
93,0.000429,0.242724
94,0.000419,0.248709
95,0.000435,0.243616
96,0.000418,0.238833
97,0.000444,0.245856
98,0.000419,0.243369
99,0.000447,0.239958
100,0.000468,0.240405
101,0.000416,0.243494
102,0.000416,0.253544
103,0.000414,0.253382
104,0.000411,0.264166
105,0.000429,0.248266
106,0.000416,0.241245
107,0.000420,0.248404
108,0.000469,0.254197
109,0.000429,0.258385
110,0.000446,0.251420
111,0.000428,0.245296
112,0.000459,0.250126
113,0.000632,0.242070
114,0.000430,0.234381
115,0.000425,0.234559
116,0.000427,0.252386
117,0.000428,0.251817
118,0.000428,0.252822
119,0.000440,0.267476
120,0.000416,0.267165
121,0.000428,0.241185
122,0.000441,0.244033
123,0.000416,0.245186
124,0.000415,0.243496
125,0.000424,0.248910
126,0.000441,0.238743
127,0.000430,0.254308
128,0.000419,0.243392
129,0.000436,0.237801
130,0.000412,0.247406
131,0.000424,0.241159
132,0.000422,0.261792
133,0.000429,0.245555
134,0.000419,0.239250
135,0.000433,0.249460
136,0.000427,0.244461
137,0.000426,0.250232
138,0.000429,0.239312
139,0.000424,0.266432
140,0.000441,0.240465
