requisicaoN,tempoBanco,tempoHTTP
1,0.001198,0.279506
2,0.001121,0.261098
3,0.001478,0.263575
4,0.001471,0.270703
5,0.001277,0.269387
6,0.001115,0.258961
7,0.001244,0.260099
8,0.001495,0.261366
9,0.001340,0.268899
10,0.001177,0.255747
11,0.001196,0.249092
12,0.001562,0.272648
13,0.001244,0.254765
14,0.001198,0.250022
15,0.001208,0.264088
16,0.000979,0.339957
17,0.001126,0.263312
18,0.001039,0.295570
19,0.001018,0.249344
20,0.001002,0.253397
21,0.001119,0.287002
22,0.000915,0.250248
23,0.001169,0.277283
24,0.001213,0.260236
25,0.001604,0.349102
26,0.001267,0.296362
27,0.001189,0.282592
28,0.001307,0.352086
29,0.001213,0.277662
30,0.001351,0.359438
31,0.001162,0.273125
32,0.001035,0.294892
33,0.001266,0.276514
34,0.001179,0.336795
35,0.001265,0.284075
36,0.001300,0.268505
37,0.001307,0.255198
38,0.001296,0.276035
39,0.001138,0.275535
40,0.001418,0.265005
41,0.001243,0.296718
42,0.001267,0.260859
43,0.001189,0.278034
44,0.001194,0.272525
45,0.001718,0.358507
46,0.001629,0.277505
47,0.001085,0.352281
48,0.001182,0.254727
49,0.001159,0.284990
50,0.001085,0.256683
51,0.001343,0.258057
52,0.001166,0.261728
53,0.006633,0.280965
54,0.001143,0.274356
55,0.001281,0.261209
56,0.001087,0.422559
57,0.006287,0.267101
58,0.001322,0.249073
59,0.001169,0.352538
60,0.001207,0.256051
61,0.001247,0.304193
62,0.001064,0.271154
63,0.001516,0.271864
64,0.000981,0.427002
65,0.001149,0.260407
66,0.001142,0.275562
67,0.001188,0.257501
68,0.001133,0.275590
69,0.001166,0.257594
70,0.001159,0.281148
71,0.001469,0.295572
72,0.001385,0.439980
73,0.001062,0.497134
74,0.001206,0.249475
75,0.001091,0.278669
76,0.001683,0.257994
77,0.004598,0.286657
78,0.001346,0.275401
79,0.001196,0.275121
80,0.001158,0.313541
81,0.001428,0.281624
82,0.001590,0.287255
83,0.001212,0.271226
84,0.001081,0.258757
85,0.001031,0.254434
86,0.001283,0.261547
87,0.001211,0.269980
88,0.002413,0.269988
89,0.001245,0.839032
90,0.001172,0.274343
91,0.001280,0.277225
92,0.001160,0.312523
93,0.005969,0.281962
94,0.001236,0.280064
95,0.001261,0.811989
96,0.001263,0.269906
97,0.001286,0.265803
98,0.001273,0.283834
99,0.001271,0.286038
100,0.001082,0.284183
101,0.008554,0.261240
102,0.001544,0.261390
103,0.001132,0.361150
104,0.001215,0.348552
105,0.001277,0.318736
106,0.001234,0.322652
107,0.001014,0.279425
108,0.001213,0.254405
109,0.001409,0.328872
110,0.001029,0.282733
111,0.001057,0.271372
112,0.001150,0.515081
113,0.004878,0.293706
114,0.001149,0.257622
115,0.001292,0.270932
116,0.001122,0.261990
117,0.005950,0.355663
118,0.001036,0.260568
119,0.000958,0.272737
120,0.001145,0.275666
121,0.001197,0.273272
122,0.001057,0.274519
123,0.000990,0.273543
124,0.001115,0.249889
125,0.001645,0.350687
126,0.001224,0.268908
127,0.001127,0.251482
128,0.001064,0.303507
129,0.001108,0.267747
130,0.001166,0.282063
131,0.001144,0.321573
132,0.001803,0.278304
133,0.004791,0.255736
134,0.001058,0.268768
135,0.001026,0.274933
136,0.001132,0.269438
137,0.001308,0.299921
138,0.001190,0.262000
139,0.001179,0.261199
140,0.001163,0.295971
141,0.001398,0.250199
142,0.001000,0.274269
143,0.001202,0.360802
144,0.001181,0.257257
