requisicaoN,tempoBanco,tempoHTTP
1,0.001194,0.789438
2,0.001265,0.272948
3,0.001397,0.271450
4,0.001310,0.263624
5,0.005024,0.260684
6,0.001138,0.253557
7,0.001243,0.260632
8,0.001248,0.328178
9,0.001235,0.276123
10,0.001165,0.256395
11,0.001175,0.269862
12,0.001286,0.268590
13,0.001730,0.265856
14,0.001225,0.273982
15,0.001173,0.299891
16,0.001129,0.300005
17,0.001185,0.275640
18,0.001221,0.270651
19,0.001892,0.306879
20,0.001942,0.271409
21,0.001282,0.248411
22,0.001248,0.247964
23,0.001634,0.285639
24,0.001308,0.268037
25,0.002510,0.309944
26,0.001411,0.267115
27,0.003094,0.279632
28,0.001217,0.254043
29,0.001219,0.254981
30,0.001245,0.280691
31,0.001300,0.254722
32,0.001285,0.260633
33,0.001397,0.246718
34,0.001336,0.317149
35,0.001433,0.268372
36,0.001074,0.310764
37,0.001154,0.289597
38,0.001199,0.256030
39,0.001088,0.256932
40,0.001096,0.257995
41,0.001938,0.248625
42,0.001211,0.268369
43,0.001272,0.291560
44,0.001424,0.267402
45,0.001135,0.248943
46,0.001132,0.245781
47,0.001142,0.273312
48,0.001131,0.252202
49,0.001064,0.283814
50,0.001283,0.271989
51,0.001328,0.366245
52,0.001365,0.272272
53,0.001368,0.276759
54,0.001332,0.252660
55,0.001601,0.370686
56,0.001059,0.348593
57,0.001123,0.281783
58,0.001266,0.269845
59,0.001020,0.289915
60,0.001187,0.292026
61,0.001474,0.265753
62,0.001158,0.253732
63,0.009200,0.370128
64,0.001250,0.281393
65,0.001025,0.282644
66,0.001181,0.278565
67,0.001349,0.297384
68,0.001159,0.243727
69,0.001213,0.264297
70,0.000979,0.261240
71,0.001825,0.331432
72,0.001085,0.276357
73,0.001202,0.250189
74,0.001123,0.264762
75,0.001260,0.363635
76,0.001209,0.352130
77,0.001163,0.355640
78,0.001079,0.266193
79,0.001111,0.292493
80,0.001072,0.262944
81,0.001072,0.267204
82,0.001301,0.281964
83,0.001683,0.283004
84,0.001203,0.281000
85,0.001166,0.279999
86,0.001040,0.271551
87,0.001024,0.260358
88,0.001028,0.351694
89,0.001050,0.275710
90,0.001058,0.277318
91,0.004092,0.258274
92,0.001152,0.264525
93,0.001053,0.254836
94,0.001167,0.259816
95,0.001114,0.267991
96,0.001288,0.348548
97,0.001212,0.265645
98,0.001104,0.261515
99,0.001079,0.339744
100,0.001628,0.259988
101,0.001038,0.259694
102,0.001181,0.255016
103,0.001200,0.249974
104,0.001114,0.263236
105,0.001025,0.268263
106,0.001196,0.255326
107,0.001146,0.266472
108,0.001234,0.269486
109,0.000976,0.269174
