requisicaoN,tempoBanco,tempoHTTP
1,0.000452,0.314516
2,0.000476,0.256041
3,0.000447,0.267996
4,0.000425,0.245772
5,0.001046,0.282384
6,0.000450,0.360515
7,0.000428,0.252974
8,0.000437,0.275196
9,0.024696,0.304023
10,0.000457,0.282252
11,0.000440,0.254682
12,0.001870,0.403167
13,0.000770,0.254980
14,0.000471,0.247329
15,0.000600,0.248318
16,0.000436,0.279532
17,0.184459,0.436704
18,0.000450,0.252910
19,0.000414,0.266963
20,0.002109,0.288172
21,0.000456,0.256974
22,0.000423,0.248586
23,0.000444,0.277297
24,0.000401,0.257992
25,0.006364,0.259115
26,0.000451,0.260651
27,0.000433,0.267827
28,0.000438,0.284765
29,0.000477,0.270133
30,0.000968,0.367099
31,0.000483,0.276336
32,0.000436,0.253700
33,0.000464,0.261168
34,0.000444,0.277045
35,0.000396,0.274860
36,0.000409,0.262518
37,0.005572,0.348748
38,0.000565,0.253152
39,0.000475,0.256029
40,0.000491,0.354255
41,0.006218,0.272771
42,0.000478,0.269575
43,0.000538,0.278565
44,0.005287,0.281995
45,0.000829,0.261856
46,0.000625,0.269481
47,0.000462,0.247183
48,0.001685,0.252710
49,0.003283,0.277401
50,0.000413,0.266253
51,0.000764,0.259238
52,0.000425,0.251473
53,0.000559,0.250626
54,0.000496,0.272363
55,0.000451,0.252828
56,0.000509,0.271952
57,0.003479,0.278178
58,0.000424,0.260585
59,0.000425,0.261668
60,0.000442,0.274158
61,0.001604,0.269022
62,0.000444,0.283655
63,0.000435,0.272063
64,0.000508,0.263048
65,0.000397,0.344410
66,0.000433,0.285197
67,0.000448,0.280417
68,0.000441,0.279110
69,0.000574,0.267514
70,0.000434,0.273862
71,0.002177,0.276056
72,0.000442,0.246652
73,0.000483,0.256602
74,0.000503,0.269543
75,0.000477,0.264561
76,0.000516,0.258763
77,0.000690,0.349460
78,0.000435,0.249269
79,0.000429,0.253568
80,0.000542,0.252170
81,0.000424,0.260437
82,0.000481,0.252734
83,0.000497,0.275336
84,0.000453,0.267497
85,0.000475,0.265569
86,0.000444,0.300359
87,0.000423,0.251204
88,0.000442,0.269507
89,0.000649,0.272661
90,0.000501,0.271503
91,0.000412,0.262267
92,0.000442,0.270389
93,0.000477,0.275242
94,0.000395,0.254730
95,0.000442,0.273297
96,0.000434,0.280154
97,0.004255,0.260232
98,0.000496,0.277925
99,0.000452,0.261947
100,0.000430,0.257403
101,0.000486,0.271384
102,0.000454,0.260313
103,0.000548,0.259532
104,0.000505,0.280910
105,0.000402,0.283101
106,0.000484,0.262866
107,0.000619,0.351495
108,0.000543,0.285971
109,0.000620,0.254467
110,0.000451,0.251727
111,0.000458,0.259101
112,0.000427,0.283284
113,0.000711,0.249350
114,0.000533,0.263300
115,0.000432,0.270326
116,0.000451,0.273094
117,0.000475,0.248224
118,0.000431,0.250676
119,0.000447,0.262399
120,0.000589,0.244346
121,0.000952,0.267224
122,0.000454,0.256107
123,0.000430,0.345370
124,0.000425,0.273174
125,0.000487,0.275173
126,0.000433,0.689322
127,0.000443,0.289912
128,0.000405,0.262884
129,0.000444,0.284474
130,0.000483,0.288763
131,0.000405,0.281317
132,0.000419,0.268847
133,0.000477,0.547699
134,0.000477,0.333824
135,0.000461,0.342899
136,0.000453,0.311931
137,0.000441,0.296418
138,0.000390,0.267413
139,0.000447,0.250938
140,0.000465,0.249202
141,0.000585,0.517419
142,0.000454,0.274893
143,0.000468,0.252515
144,0.000620,0.273747
145,0.002426,0.350643
146,0.000418,0.704138
147,0.000433,0.305975
148,0.000449,0.261409
149,0.000419,0.265376
150,0.000450,0.245243
151,0.000467,0.269158
152,0.000452,0.301960
153,0.000459,0.280001
154,0.000386,0.290771
155,0.000444,0.270040
156,0.000391,0.300877
157,0.000450,0.270598
158,0.000481,0.290368
159,0.000462,0.311376
160,0.000443,0.288479
161,0.000531,0.257543
162,0.000475,0.357898
163,0.000433,0.287337
164,0.000503,0.264400
165,0.004275,0.259519
166,0.000509,0.311639
167,0.000515,0.290217
168,0.000469,0.272205
169,0.000513,0.273971
170,0.000460,0.265737
171,0.000475,0.322419
172,0.000523,0.262981
173,0.000494,0.271299
174,0.000463,0.276725
175,0.000491,0.271183
176,0.000425,0.254989
177,0.000498,0.251978
178,0.000555,0.278154
179,0.000544,0.261214
180,0.000499,0.274285
181,0.004616,0.283946
182,0.000587,0.271224
183,0.000513,0.292170
184,0.000452,0.364994
