requisicaoN,tempoBanco,tempoHTTP
1,0.000481,0.296307
2,0.000427,0.272968
3,0.000441,0.278986
4,0.000422,0.309313
5,0.000603,0.273843
6,0.000429,0.261256
7,0.000394,0.287023
8,0.000465,0.258245
9,0.000467,0.289406
10,0.000413,0.280536
11,0.000464,0.358489
12,0.000425,0.288301
13,0.000543,0.297604
14,0.000435,0.288323
15,0.000406,0.328732
16,0.000438,0.292057
17,0.003705,0.289271
18,0.000410,0.282446
19,0.000416,0.281238
20,0.000410,0.284787
21,0.000414,0.368516
22,0.000428,0.280930
23,0.000437,0.323604
24,0.000447,0.277913
25,0.000439,0.301474
26,0.000454,0.289787
27,0.000436,0.297901
28,0.000473,0.274551
29,0.001677,0.276560
30,0.000449,0.296244
31,0.000386,0.268699
32,0.000453,0.369530
33,0.000970,0.301389
34,0.000557,0.284246
35,0.000424,0.275287
36,0.000417,0.273479
37,0.001398,0.266632
38,0.000431,0.306929
39,0.000415,0.302013
40,0.000442,0.290934
41,0.000447,0.355082
42,0.000480,0.293593
43,0.000438,0.404742
44,0.000939,0.296360
45,0.000410,0.297563
46,0.000430,0.487168
47,0.000448,0.341225
48,0.000445,0.355078
49,0.000426,0.362000
50,0.002796,0.424319
51,0.000421,0.369348
52,0.000419,0.339518
53,0.000417,0.355084
54,0.000423,0.404037
55,0.000413,0.324604
56,0.000403,0.376900
57,0.000452,0.335013
58,0.000696,0.271073
59,0.000440,0.261310
60,0.000549,0.261639
61,0.000438,0.270974
62,0.000546,0.272157
63,0.000420,0.287488
64,0.000455,0.282156
65,0.000427,0.293824
66,0.000420,0.290341
67,0.000412,0.265743
68,0.000415,0.257305
69,0.000500,0.291432
70,0.000873,0.289574
71,0.000448,0.263464
72,0.000419,0.287252
73,0.000434,0.263825
74,0.000524,0.259273
75,0.000418,0.293227
76,0.002769,0.308335
77,0.000411,0.301910
78,0.000423,0.290539
79,0.000444,0.254940
80,0.000441,0.274991
81,0.000497,0.284393
82,0.001658,0.292270
83,0.000449,0.286679
84,0.000435,0.272077
85,0.000408,0.302695
86,0.000428,0.297316
87,0.000406,0.291437
88,0.000435,0.299275
89,0.000436,0.285158
90,0.000427,0.260379
91,0.000529,0.309962
92,0.000448,0.262869
93,0.000420,0.286924
94,0.000432,0.312951
95,0.000609,0.270240
96,0.000443,0.273592
97,0.000430,0.276092
98,0.000437,0.288219
99,0.000420,0.268107
100,0.003632,0.362757
101,0.000436,0.282575
102,0.000454,0.255707
103,0.000440,0.373909
104,0.000451,0.268536
105,0.000423,0.269053
106,0.000427,0.300776
107,0.000600,0.292257
108,0.000471,0.264045
109,0.000450,0.284154
110,0.000445,0.292641
111,0.000482,0.287678
112,0.000443,0.273813
113,0.000750,0.273782
114,0.000427,0.284337
115,0.000742,0.264964
116,0.000438,0.260975
117,0.000455,0.297982
118,0.000440,0.265797
119,0.000433,0.269710
120,0.000437,0.264568
121,0.000436,0.289031
122,0.000420,0.275998
123,0.000449,0.309193
124,0.000458,0.377203
125,0.000440,0.275839
126,0.000857,0.280710
127,0.000542,0.296050
128,0.000442,0.289517
129,0.000428,0.290792
130,0.000423,0.298839
131,0.000411,0.259896
132,0.000425,0.277662
133,0.000454,0.262380
134,0.000422,0.266440
135,0.000449,0.283492
136,0.000529,0.269965
137,0.000442,0.271248
138,0.000915,0.268662
139,0.000422,0.276727
140,0.000492,0.280305
141,0.000452,0.271982
142,0.000440,0.380621
143,0.000452,0.297674
144,0.000426,0.269935
145,0.000406,0.272434
146,0.000423,0.287630
147,0.000428,0.256673
148,0.000437,0.269663
149,0.000428,0.277447
150,0.000415,0.276041
151,0.000431,0.275642
152,0.000403,0.285479
153,0.000438,0.284654
154,0.000455,0.273811
155,0.000431,0.272065
156,0.000434,0.288007
157,0.000416,0.321763
158,0.000421,0.260634
159,0.000437,0.281275
160,0.000437,0.266860
161,0.000430,0.272726
162,0.000412,0.278066
163,0.000572,0.271431
164,0.000425,0.272491
165,0.000425,0.268259
166,0.000478,0.281521
167,0.000446,0.270650
168,0.000402,0.260159
169,0.000427,0.357567
170,0.000435,0.263197
171,0.000450,0.275903
172,0.000428,0.276736
173,0.000448,0.281865
174,0.000514,0.358164
175,0.000422,0.285015
176,0.000430,0.273365
177,0.000456,0.263902
178,0.000685,0.356139
179,0.000418,0.276091
180,0.000431,0.357563
181,0.000417,0.278345
182,0.000463,0.279670
183,0.000423,0.293090
184,0.000434,0.372489
185,0.000479,0.283089
186,0.000430,0.284566
187,0.000424,0.283685
188,0.000435,0.292436
189,0.000466,0.270449
190,0.000459,0.286030
191,0.000426,0.280444
192,0.000446,0.276182
193,0.000417,0.282947
194,0.000677,0.302894
195,0.000431,0.285688
196,0.000441,0.304787
197,0.000442,0.295331
198,0.000394,0.371282
199,0.000448,0.279208
200,0.000427,0.279618
201,0.000428,0.362377
202,0.000419,0.364010
203,0.000392,0.274003
